,,,Dessert (aliment moyen),2.18
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons cuits,Jambon cuit | supérieur | avec couenne,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons cuits,Jambon cuit | supérieur | découenné,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons cuits,Jambon à l'os braisé,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons cuits,Jambon cuit | supérieur | découenné dégraissé,0.4
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons cuits,Jambon cuit | supérieur | à teneur réduite en sel,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons cuits,Jambon cuit | choix,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons cuits,Épaule de porc | cuite | choix | découennée dégraissée,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons cuits,Jambon cuit | choix | avec couenne,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons cuits,Jambon cuit | choix | découenné dégraissé,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons cuits,Rond de jambon cuit,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons cuits,Dés | allumettes | râpé ou haché de jambon,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons cuits,Épaule de porc | cuite | standard | découennée dégraissée,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons cuits,Jambon cuit | de Paris | découenné dégraissé,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons cuits,Dés | allumettes | râpé ou haché de jambon de volaille,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons cuits,Jambonneau | cuit,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons cuits,Jambon de poulet ou Blanc de poulet en tranche,0.5
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons cuits,Jambon de dinde ou Blanc de dinde en tranche,0.3
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons secs et crus,Jambon cru,0.3
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons secs et crus,Jambon cru | fumé,0.15
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons secs et crus,Jambon sec | découenné | dégraissé,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons secs et crus,Jambon cru | fumé | allégé en matière grasse,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons secs et crus,Jambon de Bayonne,0.3
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons secs et crus,Jambon sec,0.3
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons secs et crus,Jambon sec de Parme,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons secs et crus,Jambon sec Serrano,0.3
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons secs et crus,Coppa,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,jambons secs et crus,Pancetta ou Poitrine roulée sèche,0.2
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisson secs,Saucisson sec,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisson secs,Saucisson sec pur porc,0.13
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisson secs,Saucisson sec pur porc | qualité supérieure,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisson secs,Rosette ou Fuseau,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisson secs,Saucisse sèche,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisson secs,Saucisson sec aux noix et/ou noisettes,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Chipolata | cuite,0.4
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Saucisse de Toulouse | cuite,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Chair à saucisse | crue,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Chair à saucisse | pur porc | crue,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Farce porc et boeuf | crue,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Saucisse fumée | à cuire,0.3
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Saucisse de Morteau,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Saucisse de Montbéliard,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Saucisse de Morteau | bouillie/cuite à l'eau,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Saucisse de Toulouse | crue,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Chipolata | crue,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Saucisse alsacienne fumée ou Gendarme,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Saucisse de volaille | façon charcutière,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Saucisse de volaille | type Knack,0.45
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Saucisse de Francfort,0.28
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Merguez | crue,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Merguez | pur boeuf | crue,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Merguez | porc et boeuf | crue,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Merguez | boeuf | mouton et porc | crue,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Merguez | boeuf et mouton | cuite,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Merguez | boeuf et mouton | crue,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Saucisse de foie,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Diot | cru,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Saucisse de Strasbourg ou Knack,0.93
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Saucisse cocktail,1.04
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Saucisse viennoise | crue,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Saucisse de jambon pur porc,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Saucisse de bière,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Saucisse de langue à la pistache,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,saucisses et assimilés,Saucisse (aliment moyen),0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,pâtés et terrines,Confit de foie de porc,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,pâtés et terrines,Confit de foie de volaille,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,pâtés et terrines,Pâté au poivre vert,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,pâtés et terrines,Pâté au jambon,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,pâtés et terrines,Pâté ou terrine de campagne,0.28
viandes | œufs | poissons et assimilés,charcuteries et assimilés,pâtés et terrines,Pâté breton,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,pâtés et terrines,Terrine de canard,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,pâtés et terrines,Pâté de lapin,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,pâtés et terrines,Terrine de lapin,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,pâtés et terrines,Pâté de gibier,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,pâtés et terrines,Pâté ou terrine aux champignons (forestier),0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,pâtés et terrines,Pâté de foie de porc | supérieur,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,pâtés et terrines,Pâté de foie de porc,0.3
viandes | œufs | poissons et assimilés,charcuteries et assimilés,pâtés et terrines,Mousse de foie de porc supérieure ou Crème de foie,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,pâtés et terrines,Mousse de foie de porc,1.2
viandes | œufs | poissons et assimilés,charcuteries et assimilés,pâtés et terrines,Mousse de canard,0.53
viandes | œufs | poissons et assimilés,charcuteries et assimilés,pâtés et terrines,Pâté de foie de volaille,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,pâtés et terrines,Pâté de foie d'oie,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,pâtés et terrines,Pâté (aliment moyen),0.31
viandes | œufs | poissons et assimilés,charcuteries et assimilés,pâtés et terrines,Pâté en croûte,0.36
viandes | œufs | poissons et assimilés,charcuteries et assimilés,rillettes,Rillettes traditionnelles de porc,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,rillettes,Rillettes pur porc,0.2
viandes | œufs | poissons et assimilés,charcuteries et assimilés,rillettes,Rillettes de Tours,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,rillettes,Rillettes du Mans,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,rillettes,Rillettes pur oie,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,rillettes,Rillettes de canard,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,rillettes,Rillettes d'oie,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,rillettes,Rillettes de poulet,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,quenelles,Quenelle de veau | en sauce,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,quenelles,Quenelle de volaille | crue,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,quenelles,Quenelle de volaille | en sauce,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,quenelles,Quenelle de poisson | en sauce,0.3
viandes | œufs | poissons et assimilés,charcuteries et assimilés,quenelles,Quenelle de poisson | crue,0.3
viandes | œufs | poissons et assimilés,charcuteries et assimilés,quenelles,Quenelle de poisson | cuite,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,quenelles,Quenelle nature | crue,0.29
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Confit de canard | viande (cuisse) | sans peau | réchauffé,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Confit de canard,0.2
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Canard | magret fumé,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Foie gras | canard | entier | cuit,0.52
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Foie gras | canard | bloc | sans morceaux,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Foie gras | canard | bloc | 30% de morceaux,0.6
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Foie gras | canard | bloc | 50% de morceaux,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Foie gras de canard | cru,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Foie gras | canard | bloc (aliment moyen),0.6
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Galantine (aliment moyen),0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Roulade de porc pistachée,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Oeuf au jambon en gelée,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Jambon en croûte,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Fromage de tête,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Museau de porc vinaigrette,0.28
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Museau de boeuf,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Andouille,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Andouille de Guéméné,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Andouille | réchauffée à la poêle,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Andouille de Vire,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Andouillette | à cuire,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Andouillette | sautée/poêlée,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Andouillette de Troyes | à cuire,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Boudin noir | à cuire,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Boudin noir | sauté/poêlé,0.88
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Boudin | sauté/poêlé (aliment moyen),0.88
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Boudin antillais | à cuire,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Boudin blanc | sauté/poêlé,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Boudin blanc | à cuire,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Boudin blanc truffé | à cuire,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Museau de boeuf en vinaigrette,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Lardon nature | cru,0.78
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Poitrine de porc | fumée | crue,0.39
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Bresaola,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Lardon nature | cuit,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Corned-beef | appertisé,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Oreille de porc demi-sel,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Pied de porc demi-sel,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Poitrine de porc demi-sel,0.45
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Lardon fumé | cru,0.51
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Lardon fumé | cuit,0.27
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Viande des Grisons,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Haché de volaille,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Rôti de volaille en salaison | cuit,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Chorizo,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Chorizo supérieur | doux ou fort | type saucisse sèche,1.2
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Chorizo supérieur | doux ou fort | type charcuterie en tranches,0.8
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Salami,0.2
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Salami pur porc,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Salami porc et boeuf,0.27
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Salami type danois,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Saucisson à l'ail,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Saucisson cuit pur porc,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Saucisson de Paris,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Saucisson de Paris | fumé,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Saucisson brioché | cuit,0.5
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Cervelas,0.5
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Cervelas obernois,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Cervelas à l'ail | pur porc,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Mortadelle,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Mortadelle | pur porc,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Mortadelle | porc et boeuf,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Mortadelle pistachée pur porc,0
viandes | œufs | poissons et assimilés,charcuteries et assimilés,autres spécialités charcutières,Saucisson de cheval type cervelas,0.56
viandes | œufs | poissons et assimilés,charcuteries et assimilés,substituts de charcuteries pour végétariens,Spécialité végétale type jambon cuit | préemballée,0.1
viandes | œufs | poissons et assimilés,charcuteries et assimilés,substituts de charcuteries pour végétariens,Spécialité végétale type pâté | préemballée,0.58
viandes | œufs | poissons et assimilés,charcuteries et assimilés,substituts de charcuteries pour végétariens,Saucisse végétale au tofu (convient aux véganes ou végétaliens) | préemballée,0.21
viandes | œufs | poissons et assimilés,charcuteries et assimilés,substituts de charcuteries pour végétariens,Quenelle au tofu (ne convient pas aux véganes ou végétaliens) | préemballée,0.31
viandes | œufs | poissons et assimilés,charcuteries et assimilés,substituts de charcuteries pour végétariens,Saucisse végétale au blé ou seitan | préemballé,0.48
viandes | œufs | poissons et assimilés,autres produits à base de viande,-,Haché à base de boeuf ou Préparation de viande hachée de boeuf | 15% MG | cru | prémeballé,0.13
viandes | œufs | poissons et assimilés,autres produits à base de viande,-,Cordon bleu de volaille | préemballé,0.45
viandes | œufs | poissons et assimilés,autres produits à base de viande,-,Boeuf | boulettes cuites,0.2
viandes | œufs | poissons et assimilés,autres produits à base de viande,-,Veau | escalope panée | cuite,0
viandes | œufs | poissons et assimilés,autres produits à base de viande,-,Boulettes au porc et au boeuf (à la suédoise) | préemballées | crues,0.3
viandes | œufs | poissons et assimilés,autres produits à base de viande,-,Boulettes au boeuf et à l'agneau (type kefta) | préemballées | crues,0.3
viandes | œufs | poissons et assimilés,autres produits à base de viande,-,Brochette de volaille,0
viandes | œufs | poissons et assimilés,autres produits à base de viande,-,Brochette de boeuf,0
viandes | œufs | poissons et assimilés,autres produits à base de viande,-,Brochette mixte de viande,0
viandes | œufs | poissons et assimilés,autres produits à base de viande,-,Volaille | croquette panée ou nuggets,0.3
viandes | œufs | poissons et assimilés,autres produits à base de viande,-,Brochette d'agneau,0
viandes | œufs | poissons et assimilés,autres produits à base de viande,-,Brochette de porc | crue,0
viandes | œufs | poissons et assimilés,autres produits à base de viande,-,Poulet | croquette panée ou nuggets,0.7
viandes | œufs | poissons et assimilés,autres produits à base de viande,-,Poulet | manchons marinés | rôtis/cuits au four,0
viandes | œufs | poissons et assimilés,autres produits à base de viande,-,Poulet | escalope panée,0.9
viandes | œufs | poissons et assimilés,autres produits à base de viande,-,Dinde | escalope viennoise ou milanaise ou escalope panée,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Saumon | cuit | sans précision (aliment moyen),0
viandes | œufs | poissons et assimilés,poissons cuits,-,Cabillaud | cuit | sans précision (aliment moyen),0
viandes | œufs | poissons et assimilés,poissons cuits,-,Hareng fumé | filet | doux,0.3
viandes | œufs | poissons et assimilés,poissons cuits,-,Carrelet ou plie | cuit à la vapeur,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Églefin | cuit à la vapeur,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Hareng | frit,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Hareng fumé | au naturel,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Hareng | grillé/poêlé,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Lieu noir | cuit,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Limande-sole | cuite à la vapeur,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Maquereau | rôti/cuit au four,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Maquereau | frit,0.2
viandes | œufs | poissons et assimilés,poissons cuits,-,Merlan | frit,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Merlan | cuit à la vapeur,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Cabillaud | rôti/cuit au four,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Morue | salée | bouillie/cuite à l'eau,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Cabillaud | cuit à la vapeur,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Mulet | rôti/cuit au four,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Raie | rôtie/cuite au four,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Roussette ou petite roussette ou saumonette | cuite,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Saumon fumé,0.15
viandes | œufs | poissons et assimilés,poissons cuits,-,Saumon | cuit à la vapeur,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Thon | rôti/cuit au four,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Sole | cuite à la vapeur,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Sole | rôtie/cuite au four,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Sole | bouillie/cuite à l'eau,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Sole | frite,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Raie | cuite au court-bouillon,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Lotte ou baudroie | grillée/poêlée,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Maquereau | fumé,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Haddock (fumé) ou églefin fumé,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Espadon | rôti/cuit au four,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Turbot | rôti/cuit au four,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Merlu | cuit à l'étouffée,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Églefin | grillé/poêlé,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Sardine | grillée,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Vivaneau | cuit,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Rascasse | cuite à la vapeur,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Lieu ou colin d'Alaska | fumé,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Lieu jaune ou colin | cuit,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Saumon | cuit au micro-ondes | élevage,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Saumon | bouilli/cuit à l'eau | élevage,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Dorade grise | ou daurade grise | ou griset | rôtie/cuite au four,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Saumon | grillé/poêlé,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Saumon | élevage | rôti/cuit au four,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Hareng fumé | à l'huile,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Julienne ou Lingue | cuite,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Flétan du Groënland ou flétan noir ou flétan commun | cuit à la vapeur,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Sole | poêlée,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Anguille | cuite (aliment moyen),0
viandes | œufs | poissons et assimilés,poissons cuits,-,Anguille | rôtie/cuite au four,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Anguille | bouillie/cuite à l'eau,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Brochet | rôti/cuit au four,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Carpe | rôtie/cuite au four,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Perche | rôtie/cuite au four,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Truite | rôtie/cuite au four,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Truite | cuite à la vapeur,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Truite arc en ciel | élevage | rôtie/cuite au four,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Truite arc en ciel | élevage | cuite à la vapeur,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Panga | Pangasius | ou poisson-chat du Mékong | filet | cuit,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Truite d'élevage | fumée,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Bar commun ou loup | rôti/cuit au four,0
viandes | œufs | poissons et assimilés,poissons cuits,-,Dorade (Daurade) royale | cuite au four,0
viandes | œufs | poissons et assimilés,poissons crus,-,Bar rayé ou bar d'Amérique | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Lieu ou colin d'Alaska | cru,0.3
viandes | œufs | poissons et assimilés,poissons crus,-,Flétan de l'Atlantique ou flétan blanc | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Hareng | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Lotte ou baudroie | crue,0.15
viandes | œufs | poissons et assimilés,poissons crus,-,Saumon | cru | élevage,0.088
viandes | œufs | poissons et assimilés,poissons crus,-,Turbot sauvage | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Cabillaud | cru,0.1
viandes | œufs | poissons et assimilés,poissons crus,-,Merlu | cru,0.15
viandes | œufs | poissons et assimilés,poissons crus,-,Lieu noir | surgelé | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Merlu | filet | surgelé | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Maquereau | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Raie | crue,0
viandes | œufs | poissons et assimilés,poissons crus,-,Thon | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Carrelet ou plie | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Limande | crue,0.2
viandes | œufs | poissons et assimilés,poissons crus,-,Sole | crue,0
viandes | œufs | poissons et assimilés,poissons crus,-,Rascasse | crue,0
viandes | œufs | poissons et assimilés,poissons crus,-,Thon albacore ou thon jaune | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Sardine | crue,0
viandes | œufs | poissons et assimilés,poissons crus,-,Thon listao ou Bonite à ventre rayé | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Thon rouge | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Bar commun ou loup | cru | sans précision,0.2
viandes | œufs | poissons et assimilés,poissons crus,-,Roussette ou petite roussette ou saumonette | crue,0
viandes | œufs | poissons et assimilés,poissons crus,-,Bar ou loup de l'Atlantique | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Thon germon ou thon blanc | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Anchois commun | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Dorade royale | ou daurade ou vraie daurade | crue | sauvage,0
viandes | œufs | poissons et assimilés,poissons crus,-,Espadon | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Éperlan | cru,0
viandes | œufs | poissons et assimilés,poissons crus,-,Cardine franche | crue,0
viandes | œufs | poissons et assimilés,poissons crus,-,Rouget-barbet de roche | cru,0
