,,,Dessert (aliment moyen),2.18
entrées et plats composés,plats composés,plats de céréales/pâtes,Pâtes fraîches farcies (ex : raviolis | tortellinis) | au fromage et aux légumes | préemballées | crues,0.16
entrées et plats composés,plats composés,plats de céréales/pâtes,Nouilles sautées/poêlées aux crevettes,0.4
entrées et plats composés,plats composés,plats de céréales/pâtes,Riz blanc | avec poulet | préemballé | cuit,0
entrées et plats composés,plats composés,plats de céréales/pâtes,Riz blanc | avec légumes et viande | préemballé | cuit,0
entrées et plats composés,plats composés,plats de céréales/pâtes,Risotto | aux légumes | préemballé,0.18
entrées et plats composés,plats composés,plats de céréales/pâtes,Risotto | aux fruits de mer | préemballé,0
entrées et plats composés,plats composés,plats de céréales/pâtes,Risotto | aux fromages | préemballé,0
entrées et plats composés,plats composés,plats de céréales/pâtes,Raviolis aux légumes | sauce tomate | appertisés,0.7
entrées et plats composés,plats composés,plats de céréales/pâtes,Pâtes fraîches farcies (ex : raviolis | tortellinis) | aux légumes | préemballées | cuites,0.3
entrées et plats composés,plats composés,plats de céréales/pâtes,Pâtes en sauce aux fromages (spaghetti | tagliatelles…) | préemballées,0
entrées et plats composés,plats composés,plats de céréales/pâtes,Pâtes fraîches farcies (ex : raviolis | tortellinis) | aux légumes | préemballées | crues,0
entrées et plats composés,plats composés,plats de céréales/pâtes,Pâtes fraîches farcies (ex : raviolis | tortellinis) | cuites (aliment moyen),0.21
entrées et plats composés,plats composés,plats de céréales/pâtes,Feuille de vigne farcie au riz ou dolmas | égouttée | préemballée,0.4
entrées et plats composés,plats composés,plats de céréales/pâtes,Lasagnes ou cannellonis aux légumes | préemballés | cuits,1.3
entrées et plats composés,plats composés,plats de céréales/pâtes,Lasagnes ou cannellonis aux légumes et au fromage de chèvre | préemballés | cuits,0.38
entrées et plats composés,plats composés,plats de céréales/pâtes,Lasagnes ou cannellonis au fromage et aux épinards | préemballés,0.3
entrées et plats composés,plats composés,plats de fromage,Aligot (purée de pomme de terre à la tomme fraîche) | préemballé,0.1
entrées et plats composés,plats composés,plats de fromage,Fromage de chèvre pané à dorer | préemballé,0.4
entrées et plats composés,plats composés,plats de fromage,Soufflé au fromage,0
entrées et plats composés,plats composés,plats de fromage,Tartiflette | préemballée,0.41
entrées et plats composés,plats composés,plats de fromage,Gougère,0.11
entrées et plats composés,plats composés,plats de fromage,Préparation à base de fromage(s) pour fondue savoyarde | préemballée,0
entrées et plats composés,plats composés,plats de fromage,Fromage pané au jambon,0
entrées et plats composés,plats composés,plats végétariens,Escalope végétale ou steak à base de soja,0.7
entrées et plats composés,plats composés,plats végétariens,Tempeh,0.11
entrées et plats composés,plats composés,plats végétariens,Nuggets de blé (sans soja) | préemballé,0.22
entrées et plats composés,plats composés,plats végétariens,Nuggets soja et blé (ne convient pas aux véganes ou végétaliens) | préemballé,0.49
entrées et plats composés,plats composés,plats végétariens,Nuggets soja et blé (convient aux véganes ou végétaliens) | préemballé,0.23
entrées et plats composés,plats composés,plats végétariens,Pané soja et blé (ne convient pas aux véganes ou végétaliens),0.2
entrées et plats composés,plats composés,plats végétariens,Bâtonnet pané soja et blé (convient aux véganes ou végétaliens) | préemballée,0.1
entrées et plats composés,plats composés,plats végétariens,Escalope panée | soja | blé et fromage | type cordon bleu | préemballée,0.39
entrées et plats composés,plats composés,plats végétariens,Raviolis au tofu | à la sauce tomate | préemballés,0.88
entrées et plats composés,plats composés,plats végétariens,Galette de céréales au fromage (sans soja) | préemballé,0.72
entrées et plats composés,plats composés,plats végétariens,Galette de céréales aux légumes (sans soja) | préemballé,0.7
entrées et plats composés,plats composés,plats végétariens,Boulette végétale au soja et/ou blé | préemballée,1.03
entrées et plats composés,plats composés,plats végétariens,Galette ou pavé aux lentilles | soja et légumes | préemballé,0.63
entrées et plats composés,plats composés,plats végétariens,Galette ou pavé au blé (seitan) et légumes | préemballé,0.49
entrées et plats composés,plats composés,plats végétariens,Galette ou pavé au blé et soja (convient aux véganes ou végétaliens) | préemballé,0.4
entrées et plats composés,plats composés,plats végétariens,Galette ou pavé au blé et soja (ne convient pas aux véganes ou végétaliens) | préemballé,1.03
entrées et plats composés,plats composés,plats végétariens,Galette ou pavé au soja et fromage | préemballé,0.2
entrées et plats composés,plats composés,plats végétariens,Galette ou pavé au soja et légumes | préemballé,0.97
entrées et plats composés,plats composés,plats végétariens,Galette ou pavé au soja | fromage et légumes | préemballé,0.63
entrées et plats composés,plats composés,plats végétariens,Haché végétal à base de soja | préemballé,1.16
entrées et plats composés,pizzas | tartes et crêpes salées,-,Pizza au fromage ou Pizza margherita | préemballée,0.7
entrées et plats composés,pizzas | tartes et crêpes salées,-,Quiche lorraine | préemballée,0.25
entrées et plats composés,pizzas | tartes et crêpes salées,-,Crêpe ou Galette fourrée béchamel jambon | préemballée,0
entrées et plats composés,pizzas | tartes et crêpes salées,-,Crêpe ou Galette fourrée béchamel jambon fromage | préemballée,0.2
entrées et plats composés,pizzas | tartes et crêpes salées,-,Crêpe ou Galette fourrée béchamel champignon | préemballée,0
entrées et plats composés,pizzas | tartes et crêpes salées,-,Tarte aux légumes | préemballée,0
entrées et plats composés,pizzas | tartes et crêpes salées,-,Pizza jambon fromage | préemballée,0.53
entrées et plats composés,pizzas | tartes et crêpes salées,-,Tarte au fromage | préemballée,0.083
entrées et plats composés,pizzas | tartes et crêpes salées,-,Tarte à la provençale | préemballée,0
entrées et plats composés,pizzas | tartes et crêpes salées,-,Pizza à la viande | type bolognaise | préemballée,1.03
entrées et plats composés,pizzas | tartes et crêpes salées,-,Burritos,0.86
entrées et plats composés,pizzas | tartes et crêpes salées,-,Fajitas,0.7
entrées et plats composés,pizzas | tartes et crêpes salées,-,Pizza au chorizo ou salami | préemballée,0.6
entrées et plats composés,pizzas | tartes et crêpes salées,-,Pizza aux fruits de mer | préemballée,0
entrées et plats composés,pizzas | tartes et crêpes salées,-,Pizza au saumon | préemballée,0.59
entrées et plats composés,pizzas | tartes et crêpes salées,-,Pizza au chèvre et lardons | préemballée,0.8
entrées et plats composés,pizzas | tartes et crêpes salées,-,Pizza aux légumes ou Pizza 4 saisons | préemballée,0.79
entrées et plats composés,pizzas | tartes et crêpes salées,-,Pizza champignons fromage | préemballée,0
entrées et plats composés,pizzas | tartes et crêpes salées,-,Pizza 4 fromages | préemballée,0.44
entrées et plats composés,pizzas | tartes et crêpes salées,-,Pizza (aliment moyen),0.6
entrées et plats composés,pizzas | tartes et crêpes salées,-,Pissaladière | préemballée,0
entrées et plats composés,pizzas | tartes et crêpes salées,-,Tarte à l'oignon | préemballée,0
entrées et plats composés,pizzas | tartes et crêpes salées,-,Pizza jambon fromage champignons ou pizza royale | reine ou regina | préemballée,0.78
entrées et plats composés,pizzas | tartes et crêpes salées,-,Crêpe ou Galette fourrée béchamel fromage | préemballée,0
entrées et plats composés,pizzas | tartes et crêpes salées,-,Flammenkueche ou Tarte flambée aux lardons | préemballée,0.55
entrées et plats composés,pizzas | tartes et crêpes salées,-,Crêpe ou Galette fourrée béchamel jambon fromage champignon | préemballée,0
entrées et plats composés,pizzas | tartes et crêpes salées,-,Tarte ou Tourte aux poireaux | préemballée,0.6
entrées et plats composés,pizzas | tartes et crêpes salées,-,Tarte au saumon | préemballée,0.3
entrées et plats composés,pizzas | tartes et crêpes salées,-,Tourte au riesling | préemballée,0
entrées et plats composés,pizzas | tartes et crêpes salées,-,Tarte à la tomate | préemballée,1.7
entrées et plats composés,pizzas | tartes et crêpes salées,-,Crêpe ou Galette complète (oeuf | jambon | fromage) | préemballée,0.2
entrées et plats composés,pizzas | tartes et crêpes salées,-,Tarte aux noix de Saint-Jacques | préemballée,0
entrées et plats composés,pizzas | tartes et crêpes salées,-,Pastilla au poulet | préemballée,0.53
entrées et plats composés,pizzas | tartes et crêpes salées,-,Pizza aux lardons | oignons et fromage | préemballée,0
entrées et plats composés,pizzas | tartes et crêpes salées,-,Crêpe ou Galette aux noix de St Jacques | préemballée,0
entrées et plats composés,pizzas | tartes et crêpes salées,-,Tarte ou quiche salée (aliment moyen),0.55
entrées et plats composés,pizzas | tartes et crêpes salées,-,Crêpe ou Galette fourrée béchamel champignon | cuite | préemballée,0.29
entrées et plats composés,pizzas | tartes et crêpes salées,-,Tarte au maroilles ou Flamiche au maroilles | préemballée,0
entrées et plats composés,pizzas | tartes et crêpes salées,-,Crêpe ou Galette fourrée au poisson et / ou fruits de mer | préemballée,0
entrées et plats composés,pizzas | tartes et crêpes salées,-,Ficelle picarde | préemballée,0
entrées et plats composés,pizzas | tartes et crêpes salées,-,Tarte épinard chèvre | préemballée,0.2
entrées et plats composés,pizzas | tartes et crêpes salées,-,Tielle sétoise | préemballée,1
entrées et plats composés,pizzas | tartes et crêpes salées,-,Pizza au thon | préemballée,0
entrées et plats composés,pizzas | tartes et crêpes salées,-,Pizza kebab | préemballée,0
entrées et plats composés,pizzas | tartes et crêpes salées,-,Pizza au poulet | préemballée,0.4
entrées et plats composés,pizzas | tartes et crêpes salées,-,Pizza type raclette ou tartiflette | préemballée,0
entrées et plats composés,pizzas | tartes et crêpes salées,-,Pizza au speck ou jambon cru | préemballée,0.47
entrées et plats composés,sandwichs,-,Focaccia | garnie,0
entrées et plats composés,sandwichs,-,Fougasse | garnie,0
entrées et plats composés,sandwichs,-,Croque-monsieur | fait maison,0
entrées et plats composés,sandwichs,-,Hot-dog | préemballé,2
entrées et plats composés,sandwichs,-,Hamburger | provenant de fast food,2.13
entrées et plats composés,sandwichs,-,Cheeseburger | provenant de fast food,1.97
entrées et plats composés,sandwichs,-,Double cheeseburger | provenant de fast food,0.9
entrées et plats composés,sandwichs,-,Burger au poisson | provenant de fast food,1.3
entrées et plats composés,sandwichs,-,Sandwich grec ou Kebab | pita | crudités,0.2
entrées et plats composés,sandwichs,-,Sandwich grec ou Kebab | baguette | crudités,0
entrées et plats composés,sandwichs,-,Sandwich baguette | thon | crudités (tomate | salade) | mayonnaise,0
entrées et plats composés,sandwichs,-,Sandwich panini | jambon cru | mozzarella | tomates,0
entrées et plats composés,sandwichs,-,Sandwich baguette | jambon | oeuf dur | crudités (tomate | salade) | beurre,0
entrées et plats composés,sandwichs,-,Sandwich baguette | poulet | crudités (tomate | salade) | mayonnaise,1
entrées et plats composés,sandwichs,-,Sandwich baguette | jambon emmental | préemballé,0.28
entrées et plats composés,sandwichs,-,Sandwich baguette | saumon fumé | beurre,0
entrées et plats composés,sandwichs,-,Sandwich baguette | thon | maïs | crudités | préemballé,0.8
entrées et plats composés,sandwichs,-,Burger au poulet,1.16
entrées et plats composés,sandwichs,-,Pan bagnat,0
entrées et plats composés,sandwichs,-,Sandwich baguette | jambon | beurre,1.09
